Day,Week,Hour,Minute,Qurter,Date,timestamp,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k23,k24
30,14,12,19,1,30-03-2009,19:04.0,Khoj4u,Bvimr,Rgtu,United bank of india,Bds live,,,,,,,,,,,,,,,,,,,,
1,14,12,19,2,01-04-2009,19:04.0,Free download hindi songs,Railway reservation,Kavita bhabhi,Bharat matrimony,Sony ericsson india,,,,,,,,,,,,,,,,,,,,
2,14,12,19,2,02-04-2009,19:05.2,Bitsat 2009,Bits pilani,Bits admission,Sms jokes,Bharat matrimony,,,,,,,,,,,,,,,,,,,,
4,14,12,19,2,04-04-2009,19:03.3,Mdu rohtak,Mducoe,Way2sms.com login,Ayan video songs,Mithrudu songs,,,,,,,,,,,,,,,,,,,,
5,14,12,19,2,05-04-2009,19:05.3,Aakash institute,Allen kota,Aipmt 2009,Femina miss india 2009,Nafisa ali,,,,,,,,,,,,,,,,,,,,
7,15,12,19,2,07-04-2009,19:16.0,Hayabusa gsx 1300 rr,Tiss,Asal stills,Jagdish tytler,Jarnail singh,,,,,,,,,,,,,,,,,,,,
8,15,12,19,2,08-04-2009,19:03.6,Asal ajith,Mponline,Gseb,Delhi high court,Asal stills,,,,,,,,,,,,,,,,,,,,
9,15,12,19,2,09-04-2009,19:03.4,Good friday sms,Dgca,Iimb,Sajjan kumar,Resonance kota,,,,,,,,,,,,,,,,,,,,
11,15,12,19,2,11-04-2009,19:04.1,Bharat matrimony,Rajasthan royals vs cape cobras,Iit jee 2009,Rguhs,Easter sms,,,,,,,,,,,,,,,,,,,,
13,16,12,19,2,13-04-2009,19:02.7,Vishu sms,Msbte,Vishu wishes,Tech mahindra,Vishu greetings,,,,,,,,,,,,,,,,,,,,
14,16,12,19,2,14-04-2009,19:03.9,Indian railway time table,Sherlyn chopra,Voter list andhra pradesh,Andhra bank,Polling booth,,,,,,,,,,,,,,,,,,,,
15,16,12,19,2,15-04-2009,19:03.0,Aipmt 2009,Indiaresults,Rajasthan patrika,Diet goner,Sjmsom,,,,,,,,,,,,,,,,,,,,
16,16,12,19,2,16-04-2009,19:04.6,Adsurf2earn,I league,Bu bhopal,Punjab state lottery,Indian fantasy league,,,,,,,,,,,,,,,,,,,,
17,16,12,19,2,17-04-2009,19:03.9,Manabadi,Schools9,Aarvy,Board of intermediate,Aponline,,,,,,,,,,,,,,,,,,,,
